invoice_number,transaction_id,invoice_date,client_name,client_ruc,subtotal,iva_amount,total_invoice,payment_method,card_type,status,erp_module
FAC-000517,TXN-202408-0021,2024-08-19,Montaña y Olivera S.C.P,3121007204094,50.8,7.62,58.42,PayPhone,VISA,PAGADA,E-commerce
FAC-000518,TXN-202408-0022,2024-08-19,Dora Prado Villalba S.L.N.E,7311246175780,36.93,5.54,42.47,Datafast,VISA,PAGADA,POS
FAC-000519,TXN-202408-0023,2024-08-24,Sandoval y asociados S.L.,4510486671864,41.77,6.27,48.04,Datafast,VISA,PAGADA,E-commerce
FAC-000520,TXN-202408-0024,2024-08-08,Olivé y Ropero S.L.N.E,4426244704986,60.63,9.09,69.72,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000521,TXN-202408-0025,2024-08-28,Grupo Perera S.A.,7011018770332,65.08,9.76,74.84,Datafast,VISA,PAGADA,Ventas
FAC-000522,TXN-202408-0026,2024-08-11,Distribuciones Avanzadas S.Coop.,5170443073246,222.73,33.41,256.14,Medianet,AMEX,PAGADA,Ventas
FAC-000523,TXN-202408-0027,2024-08-12,Ciríaco Blanes Sosa S.A.T.,9468997490304,9.43,1.41,10.84,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000524,TXN-202408-0028,2024-08-02,Ismael Mendez Gargallo S.Com.,3981779989924,56.81,8.52,65.33,Medianet,AMEX,PAGADA,Ventas
FAC-000525,TXN-202408-0029,2024-08-11,Promociones Diego & Asociados S.A.,6192470481130,59.44,8.92,68.36,Datafast,VISA,PAGADA,E-commerce
FAC-000526,TXN-202408-0030,2024-08-10,Segarra y Laguna S.A.T.,2186432314565,41.12,6.17,47.29,Medianet,VISA,PAGADA,Ventas
FAC-000527,TXN-202408-0031,2024-08-25,Transportes del Mediterráneo S.L.,2281275917003,249.75,37.46,287.21,Medianet,VISA,PAGADA,Ventas
FAC-000528,TXN-202408-0032,2024-08-30,Micaela Bernad Zabala S.C.P,4437432567405,124.56,18.68,143.24,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000529,TXN-202408-0033,2024-08-01,Suministros Aguiló & Asociados S.Com.,3662512311541,322.83,48.42,371.25,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000530,TXN-202408-0034,2024-08-04,Familia Suarez S.Com.,9111902060713,335.16,50.27,385.43,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000531,TXN-202408-0035,2024-08-05,Rosales y Roselló S.C.P,6193005221442,8.25,1.24,9.49,Medianet,VISA,PAGADA,Ventas
FAC-000532,TXN-202408-0036,2024-08-14,Fausto Hernandez Acedo S.A.,9267353842561,59.49,8.92,68.41,Datafast,VISA,PAGADA,E-commerce
FAC-000533,TXN-202408-0037,2024-08-17,Farmaceútica Internacionales S.C.P,2561599944261,281.67,42.25,323.92,PayPhone,VISA,PAGADA,E-commerce
FAC-000534,TXN-202408-0038,2024-08-22,Montenegro y Julián S.A.,7845537582682,92.31,13.85,106.16,Medianet,VISA,PAGADA,Ventas
FAC-000535,TXN-202408-0039,2024-08-23,Consultoría Calatayud S.L.,9295081499402,56.57,8.49,65.06,Datafast,VISA,PAGADA,E-commerce
FAC-000536,TXN-202408-0040,2024-08-05,Máxima Rincón Perales S.C.P,3423585935803,65.89,9.88,75.77,Datafast,VISA,PAGADA,POS
FAC-000537,TXN-202408-0041,2024-08-04,Industrias FKFG S.L.L.,9552880507507,24.83,3.72,28.55,Datafast,VISA,PAGADA,E-commerce
FAC-000538,TXN-202408-0042,2024-08-28,Manufacturas Palma y asociados S.A.,9581973544252,34.57,5.18,39.75,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000539,TXN-202408-0043,2024-08-20,Restauración del Sur S.L.,4577774449649,50.3,7.55,57.85,Datafast,AMEX,PAGADA,Ventas
FAC-000540,TXN-202408-0044,2024-08-31,Inmobiliaria Avanzadas S.L.,4104640060698,50.73,7.61,58.34,Datafast,AMEX,PAGADA,Ventas
FAC-000541,TXN-202408-0045,2024-08-06,Supermercados KCD S.L.N.E,7526486275537,57.83,8.68,66.51,Datafast,VISA,PAGADA,E-commerce
FAC-000542,TXN-202408-0046,2024-08-04,Jeremías Salgado Quero S.A.D,6993854609121,270.48,40.57,311.05,PayPhone,AMEX,PAGADA,E-commerce
FAC-000543,TXN-202408-0047,2024-08-25,Alejo Bautista Ribes S.Com.,1240725453960,8.37,1.26,9.63,Datafast,MASTERCARD,PAGADA,POS
FAC-000544,TXN-202408-0048,2024-08-21,Rojas y Acero S.L.N.E,2160993247079,45.45,6.82,52.27,Datafast,AMEX,PAGADA,POS
FAC-000545,TXN-202408-0049,2024-08-03,Compañía Cerro S.Com.,2862517431603,77.53,11.63,89.16,Medianet,VISA,PAGADA,Ventas
FAC-000546,TXN-202408-0050,2024-08-27,Raquel Téllez Fernández S.Coop.,2650394398844,63.37,9.51,72.88,PayPhone,VISA,PAGADA,Ventas
FAC-000547,TXN-202408-0051,2024-08-14,Evelia Acevedo Collado S.L.N.E,2978952361794,64.62,9.69,74.31,Datafast,DINERS,PAGADA,Ventas
FAC-000548,TXN-202408-0052,2024-08-07,Granados & Asociados S.L.L.,8264549595781,132.68,19.9,152.58,Datafast,VISA,PAGADA,POS
FAC-000549,TXN-202408-0053,2024-08-20,Guitart y asociados S.Coop.,3273174271832,44.4,6.66,51.06,Datafast,VISA,PAGADA,POS
FAC-000550,TXN-202408-0054,2024-08-03,Familia Carbonell S.A.,2840239362761,244.51,36.68,281.19,Medianet,VISA,PAGADA,Ventas
FAC-000551,TXN-202408-0055,2024-08-08,Hotel CSQ S.Com.,6964040465511,360.71,54.11,414.82,Datafast,VISA,PAGADA,POS
FAC-000552,TXN-202408-0056,2024-08-23,Logística Terrón & Asociados S.Com.,3086381105022,29.3,4.39,33.69,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000553,TXN-202408-0057,2024-08-11,Servicios Gallo & Asociados S.Com.,7892074595282,41.23,6.19,47.42,Datafast,MASTERCARD,PAGADA,POS
FAC-000554,TXN-202408-0058,2024-08-26,Wilfredo Piñol Isern S.L.L.,6667742393543,80.27,12.04,92.31,Datafast,VISA,PAGADA,Ventas
FAC-000555,TXN-202408-0059,2024-08-08,Melisa Portillo Gargallo S.A.,3973278396921,54.36,8.15,62.51,Datafast,DINERS,PAGADA,Ventas
FAC-000556,TXN-202408-0060,2024-08-30,Hnos Arteaga S.L.,5410026077214,57.58,8.64,66.22,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000557,TXN-202408-0061,2024-08-26,Familia Río S.Coop.,3448696537155,59.56,8.93,68.49,Datafast,DINERS,PAGADA,POS
FAC-000558,TXN-202408-0062,2024-08-19,Grupo Espada S.A.,7031052089831,133.88,20.08,153.96,Datafast,AMEX,PAGADA,E-commerce
FAC-000559,TXN-202408-0063,2024-08-23,Ángeles Torre Ordóñez S.Coop.,8173095079337,496.1,74.42,570.52,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000560,TXN-202408-0064,2024-08-26,Macías & Asociados S.A.,6731297341485,138.31,20.75,159.06,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000561,TXN-202408-0065,2024-08-20,Familia Sandoval S.Com.,1627590826800,8.01,1.2,9.21,Medianet,VISA,PAGADA,Ventas
FAC-000562,TXN-202408-0066,2024-08-26,Quiroga y Valle S.Com.,8707220871218,44.4,6.66,51.06,Datafast,VISA,PAGADA,E-commerce
FAC-000563,TXN-202408-0067,2024-08-02,Llopis y Moraleda S.A.,8445239596023,386.65,58.0,444.65,Datafast,VISA,PAGADA,POS
FAC-000564,TXN-202408-0068,2024-08-17,Talleres del Sur S.L.,3615998751757,11.58,1.74,13.32,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000565,TXN-202408-0069,2024-08-04,Servicios QCK S.Com.,8903230888060,1294.77,194.22,1488.99,PayPhone,VISA,PAGADA,Ventas
FAC-000566,TXN-202408-0070,2024-08-26,Distribuciones ZN S.L.,8741750241300,66.22,9.93,76.15,Datafast,VISA,PAGADA,Ventas
FAC-000567,TXN-202408-0071,2024-08-23,Infraestructuras VLPX S.L.N.E,6688675875585,67.53,10.13,77.66,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000568,TXN-202408-0072,2024-08-10,Vargas y Pedraza S.C.P,1095914504972,133.61,20.04,153.65,Medianet,VISA,PAGADA,POS
FAC-000569,TXN-202408-0073,2024-08-31,Infraestructuras Franch & Asociados S.A.T.,4166946272865,416.08,62.41,478.49,Medianet,VISA,PAGADA,Ventas
FAC-000570,TXN-202408-0074,2024-08-20,Prats y Coloma S.L.,2381420438450,505.18,75.78,580.96,Datafast,DINERS,PAGADA,POS
FAC-000571,TXN-202408-0075,2024-08-30,Cuevas y asociados S.L.,9746217643493,41.23,6.19,47.42,PayPhone,DINERS,PAGADA,E-commerce
FAC-000572,TXN-202408-0076,2024-08-06,Comercializadora Rodriguez S.Coop.,8341667407886,68.42,10.26,78.68,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000573,TXN-202408-0077,2024-08-29,Crespi y asociados S.Coop.,8285857491106,302.97,45.45,348.42,PayPhone,VISA,PAGADA,E-commerce
FAC-000574,TXN-202408-0078,2024-08-09,Comercial Vilanova y asociados S.Coop.,9267264187939,8.77,1.31,10.08,Datafast,VISA,PAGADA,Ventas
FAC-000575,TXN-202408-0079,2024-08-06,Borrás y asociados S.A.,6789537701249,31.71,4.76,36.47,Medianet,VISA,PAGADA,E-commerce
FAC-000576,TXN-202408-0080,2024-08-16,Construcción Arenas y asociados S.A.T.,3716459824378,10.97,1.64,12.61,Datafast,VISA,PAGADA,E-commerce
FAC-000577,TXN-202408-0081,2024-08-28,Hermanos Arnau S.Com.,1147040793651,9.16,1.37,10.53,Medianet,MASTERCARD,PAGADA,POS
FAC-000578,TXN-202408-0082,2024-08-06,Infraestructuras Pascual & Asociados S.L.,7575692692032,596.09,89.41,685.5,Datafast,VISA,PAGADA,Ventas
FAC-000579,TXN-202408-0083,2024-08-11,Comercial del Norte S.Com.,7035712567212,2560.96,384.14,2945.1,Datafast,VISA,PAGADA,Ventas
FAC-000580,TXN-202408-0084,2024-08-21,Tecnologías Española S.L.N.E,4100857895915,227.1,34.06,261.16,PayPhone,AMEX,PAGADA,Ventas
FAC-000581,TXN-202408-0085,2024-08-07,Logística Figueras S.L.L.,3924256600980,25.94,3.89,29.83,Medianet,VISA,PAGADA,Ventas
FAC-000582,TXN-202408-0086,2024-08-10,Restauración Ocaña S.L.N.E,5278369030341,166.44,24.97,191.41,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000583,TXN-202408-0088,2024-08-20,Néstor Gaya Ferrer S.Coop.,4165329856849,47.52,7.13,54.65,Datafast,VISA,PAGADA,Ventas
FAC-000584,TXN-202408-0089,2024-08-03,Alemán y Mosquera S.A.,9697707060074,23.38,3.51,26.89,Datafast,VISA,PAGADA,E-commerce
FAC-000585,TXN-202408-0090,2024-08-22,Desarrollo Integrales S.L.,5814337004917,36.24,5.44,41.68,PayPhone,VISA,PAGADA,E-commerce
FAC-000586,TXN-202408-0091,2024-08-12,Busquets y Badía S.A.,4943687163876,62.1,9.31,71.41,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000587,TXN-202408-0092,2024-08-09,Tecnologías Bejarano S.L.,3315774054586,19.1,2.87,21.97,Datafast,VISA,PAGADA,E-commerce
FAC-000588,TXN-202408-0093,2024-08-12,Grupo Amigó S.L.N.E,6418248741427,100.87,15.13,116.0,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000589,TXN-202408-0094,2024-08-13,Familia Jaén S.A.,7453141988726,8.32,1.25,9.57,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000590,TXN-202408-0095,2024-08-29,Soluciones Integrales S.Coop.,3649212233998,242.98,36.45,279.43,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000591,TXN-202408-0096,2024-08-17,Talleres Ibéricos S.L.,3015900713204,1987.62,298.14,2285.76,Datafast,VISA,PAGADA,Ventas
FAC-000592,TXN-202408-0097,2024-08-04,Falcón & Asociados S.A.D,4484567715417,296.1,44.41,340.51,PayPhone,AMEX,PAGADA,POS
FAC-000593,TXN-202408-0098,2024-08-05,Martinez y asociados S.A.,9366045689391,2192.3,328.85,2521.15,Datafast,DINERS,PAGADA,E-commerce
FAC-000594,TXN-202408-0099,2024-08-21,Martina Sánchez Luján S.Com.,2264576776576,69.39,10.41,79.8,Datafast,DINERS,PAGADA,Ventas
FAC-000595,TXN-202408-0100,2024-08-03,Silva y Escribano S.Coop.,5964760852085,2422.11,363.32,2785.43,PayPhone,VISA,PAGADA,Ventas
FAC-000596,TXN-202408-0101,2024-08-15,Alemany y Arteaga S.L.,9229645521750,22.37,3.35,25.72,Datafast,VISA,PAGADA,E-commerce
FAC-000597,TXN-202408-0102,2024-08-14,Galván y Zaragoza S.L.,4699887829887,31.71,4.76,36.47,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000598,TXN-202408-0103,2024-08-30,Cisneros y asociados S.C.P,2875442206185,412.74,61.91,474.65,Datafast,MASTERCARD,PAGADA,POS
FAC-000599,TXN-202408-0105,2024-08-06,Tecnologías Santana & Asociados S.Com.,9806929873864,242.33,36.35,278.68,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000600,TXN-202408-0106,2024-08-13,Hotel Torre S.A.,1406724663903,216.28,32.44,248.72,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000601,TXN-202408-0107,2024-08-12,Talleres Rocha y asociados S.L.,3014303183933,21.86,3.28,25.14,Medianet,VISA,PAGADA,Ventas
FAC-000602,TXN-202408-0108,2024-08-28,Inmobiliaria KJS S.L.,1211184065488,59.31,8.9,68.21,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000603,TXN-202408-0109,2024-08-24,Pagès y Tirado S.Coop.,5158755245296,23.95,3.59,27.54,Medianet,DINERS,PAGADA,Ventas
FAC-000604,TXN-202408-0110,2024-08-03,Font y Sarabia S.A.U,2351436974578,290.51,43.58,334.09,Medianet,VISA,PAGADA,E-commerce
FAC-000605,TXN-202408-0111,2024-08-17,Duilio Cerezo Perez S.A.,3751798387135,35.94,5.39,41.33,Datafast,AMEX,PAGADA,Ventas
FAC-000606,TXN-202408-0112,2024-08-17,Lillo y asociados S.C.P,5466963389586,24.63,3.7,28.33,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000607,TXN-202408-0113,2024-08-07,Familia Garcia S.A.,9541782560199,80.14,12.02,92.16,Datafast,AMEX,PAGADA,POS
FAC-000608,TXN-202408-0114,2024-08-23,Grupo Sanabria S.Coop.,8416246947629,64.22,9.63,73.85,PayPhone,VISA,PAGADA,Ventas
FAC-000609,TXN-202408-0115,2024-08-04,Calixta Carvajal Molins S.L.N.E,3568426851797,45.79,6.87,52.66,Datafast,AMEX,PAGADA,Ventas
FAC-000610,TXN-202408-0116,2024-08-28,Dueñas y asociados S.L.L.,3467990102719,134.43,20.16,154.59,Datafast,VISA,PAGADA,Ventas
FAC-000611,TXN-202408-0117,2024-08-24,Peinado y asociados S.C.P,1795203872121,62.69,9.4,72.09,Medianet,VISA,PAGADA,Ventas
FAC-000612,TXN-202408-0118,2024-08-25,Familia Larrañaga S.A.,5619045624462,60.03,9.01,69.04,Datafast,VISA,PAGADA,Ventas
FAC-000613,TXN-202408-0119,2024-08-14,Familia Aguado S.L.,2901656633935,167.84,25.18,193.02,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000614,TXN-202408-0120,2024-08-30,Céspedes y Anglada S.Com.,1482432625381,72.82,10.92,83.74,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000615,TXN-202408-0121,2024-08-26,Transportes IFO S.L.L.,4503075598414,20.81,3.12,23.93,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000616,TXN-202408-0122,2024-08-28,Briones & Asociados S.Coop.,3002484350745,62.75,9.41,72.16,Medianet,MASTERCARD,PAGADA,POS
FAC-000617,TXN-202408-0123,2024-08-20,Hnos Reguera S.A.T.,1193328099970,38.3,5.75,44.05,Datafast,VISA,PAGADA,Ventas
FAC-000618,TXN-202408-0124,2024-08-27,Familia Viña S.L.N.E,2744043109077,2535.83,380.38,2916.21,Medianet,VISA,PAGADA,Ventas
FAC-000619,TXN-202408-0125,2024-08-16,Comercial QKP S.L.,2282353277376,48.98,7.35,56.33,Medianet,MASTERCARD,PAGADA,POS
FAC-000620,TXN-202408-0126,2024-08-21,Capdevila y Ortuño S.L.L.,5554761727573,22.41,3.36,25.77,Datafast,VISA,PAGADA,E-commerce
FAC-000621,TXN-202408-0127,2024-08-08,Raya y Hervás S.Com.,5354814712666,38.09,5.71,43.8,PayPhone,MASTERCARD,PAGADA,POS
FAC-000622,TXN-202408-0128,2024-08-22,Supermercados Muro y asociados S.L.U.,2353939294270,310.8,46.62,357.42,PayPhone,AMEX,PAGADA,E-commerce
FAC-000623,TXN-202408-0129,2024-08-14,Grupo Torrecilla S.A.T.,2715013433906,998.76,149.81,1148.57,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000624,TXN-202408-0130,2024-08-07,Grupo Salas S.Coop.,3079895824773,278.49,41.77,320.26,Datafast,VISA,PAGADA,E-commerce
FAC-000625,TXN-202408-0131,2024-08-30,Logística Rozas S.L.U.,3791299037191,55.54,8.33,63.87,Medianet,VISA,PAGADA,Ventas
FAC-000626,TXN-202408-0132,2024-08-18,Soler y Lara S.A.U,2875939557142,47.23,7.09,54.32,Datafast,VISA,PAGADA,Ventas
FAC-000627,TXN-202408-0134,2024-08-08,Despacho del Mediterráneo S.Com.,2016220659100,150.74,22.61,173.35,PayPhone,AMEX,PAGADA,Ventas
FAC-000628,TXN-202408-0135,2024-08-19,Familia Martí S.L.N.E,4543643644432,205.31,30.8,236.11,PayPhone,VISA,PAGADA,POS
FAC-000629,TXN-202408-0136,2024-08-19,Sáez & Asociados S.A.,8269142200722,45.72,6.86,52.58,Datafast,VISA,PAGADA,Ventas
FAC-000630,TXN-202408-0137,2024-08-13,Gallardo y Becerra S.L.,6668352780878,60.92,9.14,70.06,Datafast,AMEX,PAGADA,POS
FAC-000631,TXN-202408-0138,2024-08-07,Promociones YODX S.Coop.,5071093385300,119.73,17.96,137.69,Datafast,VISA,PAGADA,Ventas
FAC-000632,TXN-202408-0139,2024-08-11,Grupo Verdugo S.C.P,1590063258677,1429.5,214.43,1643.93,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000633,TXN-202408-0140,2024-08-11,Amílcar Batlle Morán S.L.U.,5246586172847,68.7,10.3,79.0,Datafast,VISA,PAGADA,Ventas
FAC-000634,TXN-202408-0141,2024-08-19,Bueno y asociados S.L.,9303446332465,54.8,8.22,63.02,Datafast,VISA,PAGADA,POS
FAC-000635,TXN-202408-0142,2024-08-21,Osuna y asociados S.L.,9368415463517,44.43,6.66,51.09,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000636,TXN-202408-0143,2024-08-07,Madrigal y Bernat S.L.U.,5073518517696,6.81,1.02,7.83,Datafast,DINERS,PAGADA,Ventas
FAC-000637,TXN-202408-0144,2024-08-07,Servicios Bonet S.L.,5595965600337,58.69,8.8,67.49,Datafast,VISA,PAGADA,E-commerce
FAC-000638,TXN-202408-0145,2024-08-12,Duilio Jurado Cañas S.Coop.,5022964842109,49.57,7.44,57.01,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000639,TXN-202408-0146,2024-08-27,Albero y Barroso S.A.,3022514557953,130.57,19.58,150.15,Datafast,VISA,PAGADA,Ventas
FAC-000640,TXN-202408-0147,2024-08-11,Despacho del Mediterráneo S.A.,6823766041426,287.37,43.11,330.48,Datafast,VISA,PAGADA,POS
FAC-000641,TXN-202408-0148,2024-08-12,Dávila y Valero S.L.,4930297081372,63.13,9.47,72.6,PayPhone,DINERS,PAGADA,Ventas
FAC-000642,TXN-202408-0149,2024-08-08,Suministros HDTD S.L.,3298210935243,76.55,11.48,88.03,Datafast,AMEX,PAGADA,Ventas
FAC-000643,TXN-202408-0150,2024-08-04,Manufacturas Española S.A.,8722950149628,37.26,5.59,42.85,PayPhone,VISA,PAGADA,E-commerce
FAC-000644,TXN-202408-0151,2024-08-25,Servicios Julián y asociados S.Coop.,4307695390878,46.1,6.92,53.02,Medianet,MASTERCARD,PAGADA,POS
FAC-000645,TXN-202408-0152,2024-08-27,Ildefonso Mena Pellicer S.Coop.,3747679007824,11.4,1.71,13.11,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000646,TXN-202408-0153,2024-08-09,Logística Rey & Asociados S.L.L.,4866669483609,12.41,1.86,14.27,Datafast,VISA,PAGADA,E-commerce
FAC-000647,TXN-202408-0154,2024-08-14,Alimentación Integrales S.Com.,9143868250855,72.97,10.94,83.91,Medianet,VISA,PAGADA,E-commerce
FAC-000648,TXN-202408-0155,2024-08-14,Comercializadora Españolas S.A.,8425629726692,325.49,48.82,374.31,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000649,TXN-202408-0156,2024-08-16,Fábrica EUZ S.Coop.,3625727346892,55.53,8.33,63.86,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000650,TXN-202408-0157,2024-08-12,Hnos Neira S.A.,7004723344666,424.97,63.74,488.71,Medianet,MASTERCARD,PAGADA,POS
FAC-000651,TXN-202408-0158,2024-08-23,Industrias Lara S.A.,2305149618068,63.72,9.56,73.28,Datafast,VISA,PAGADA,E-commerce
FAC-000652,TXN-202408-0159,2024-08-27,Restauración Alemany & Asociados S.A.,6028868879244,400.77,60.12,460.89,Datafast,VISA,PAGADA,Ventas
FAC-000653,TXN-202408-0160,2024-08-24,Infraestructuras Valverde S.Coop.,8740395186956,37.72,5.66,43.38,Medianet,VISA,PAGADA,Ventas
FAC-000654,TXN-202408-0161,2024-08-10,Hermanos Tirado S.Com.,2134408833183,68.83,10.32,79.15,Datafast,VISA,PAGADA,POS
FAC-000655,TXN-202408-0162,2024-08-10,Arjona & Asociados S.Com.,7901693476912,6.92,1.04,7.96,Datafast,VISA,PAGADA,E-commerce
FAC-000656,TXN-202408-0163,2024-08-25,Talleres JE S.L.U.,9237793980122,104.26,15.64,119.9,PayPhone,VISA,PAGADA,E-commerce
FAC-000657,TXN-202408-0164,2024-08-29,Ale Yuste Calleja S.Com.,1316318520023,189.6,28.44,218.04,Datafast,VISA,PAGADA,Ventas
FAC-000658,TXN-202408-0165,2024-08-11,Industrias del Levante S.Coop.,8415231336314,205.65,30.85,236.5,PayPhone,VISA,PAGADA,Ventas
FAC-000659,TXN-202408-0166,2024-08-23,Hnos Esteve S.Coop.,1098212702318,58.85,8.83,67.68,Datafast,VISA,PAGADA,E-commerce
FAC-000660,TXN-202408-0167,2024-08-23,Hotel Velasco S.L.,8667201295903,110.85,16.63,127.48,Medianet,MASTERCARD,PAGADA,E-commerce
FAC-000661,TXN-202408-0168,2024-08-19,Minería FPJ S.L.N.E,2277569000191,31.48,4.72,36.2,Datafast,DINERS,PAGADA,Ventas
FAC-000662,TXN-202408-0169,2024-08-12,Barco y Mora S.L.N.E,6965324483438,29.11,4.37,33.48,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000663,TXN-202408-0170,2024-08-05,Talleres del Sur S.Coop.,7115154746911,425.09,63.76,488.85,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000664,TXN-202408-0171,2024-08-09,Inmobiliaria Martí & Asociados S.Com.,6908702728204,7.35,1.1,8.45,PayPhone,VISA,PAGADA,Ventas
FAC-000665,TXN-202408-0172,2024-08-19,Banca Privada Manzano S.Coop.,1609380834912,349.88,52.48,402.36,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000666,TXN-202408-0173,2024-08-17,Minería Ibéricos S.L.N.E,3621600593241,193.12,28.97,222.09,Medianet,DINERS,PAGADA,POS
FAC-000667,TXN-202408-0174,2024-08-12,Minería Osorio & Asociados S.L.N.E,7932527625202,160.35,24.05,184.4,Medianet,VISA,PAGADA,Ventas
FAC-000668,TXN-202408-0175,2024-08-20,Inmobiliaria CJHP S.Coop.,2131167954283,273.48,41.02,314.5,Medianet,VISA,PAGADA,E-commerce
FAC-000669,TXN-202408-0176,2024-08-16,Farmaceútica Olivares S.L.,3167011678116,34.96,5.24,40.2,Datafast,DINERS,PAGADA,E-commerce
FAC-000670,TXN-202408-0177,2024-08-02,Inmobiliaria del Noroeste S.Coop.,6986290251538,67.62,10.14,77.76,Datafast,VISA,PAGADA,POS
FAC-000671,TXN-202408-0178,2024-08-15,Chico y asociados S.Coop.,6042673022099,19.67,2.95,22.62,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000672,TXN-202408-0179,2024-08-04,Banca Privada Cabello & Asociados S.L.L.,4817530405319,232.84,34.93,267.77,PayPhone,VISA,PAGADA,Ventas
FAC-000673,TXN-202408-0180,2024-08-18,Finanzas Integrales S.Com.,7641050755084,6.69,1.0,7.69,Medianet,VISA,PAGADA,E-commerce
FAC-000674,TXN-202408-0181,2024-08-29,Tecnologías Álamo S.Com.,7452846770378,1820.74,273.11,2093.85,PayPhone,MASTERCARD,PAGADA,Ventas
FAC-000675,TXN-202408-0182,2024-08-27,Paola Pastor Muñoz S.L.N.E,4267970083076,26.57,3.99,30.56,Medianet,MASTERCARD,PAGADA,POS
FAC-000676,TXN-202408-0183,2024-08-20,Consultoría QARZ S.C.P,4440583550172,54.4,8.16,62.56,PayPhone,AMEX,PAGADA,Ventas
FAC-000677,TXN-202408-0184,2024-08-22,Hernández & Asociados S.Coop.,6627973282901,10.7,1.61,12.31,Medianet,VISA,PAGADA,Ventas
FAC-000678,TXN-202408-0185,2024-08-18,Aitana Alfaro Alberdi S.L.,9883205112134,361.7,54.26,415.96,Datafast,VISA,PAGADA,POS
FAC-000679,TXN-202408-0186,2024-08-27,Pagès y Simó S.Com.,1363680199050,249.41,37.41,286.82,Datafast,VISA,PAGADA,POS
FAC-000680,TXN-202408-0187,2024-08-04,Chus Lloret Quintanilla S.A.,3240651174711,17.12,2.57,19.69,Medianet,VISA,PAGADA,E-commerce
FAC-000681,TXN-202408-0188,2024-08-25,Alimentación Internacionales S.A.,6806485796886,26.39,3.96,30.35,Datafast,AMEX,PAGADA,Ventas
FAC-000682,TXN-202408-0189,2024-08-29,Remedios Alba Ferrer S.C.P,3412407904481,114.57,17.18,131.75,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000683,TXN-202408-0190,2024-08-01,Fábrica Barberá S.C.P,4188190114567,67.21,10.08,77.29,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000684,TXN-202408-0191,2024-08-30,Anastasia Cerezo Sevillano S.Com.,9867761952496,42.5,6.38,48.88,Medianet,MASTERCARD,PAGADA,Ventas
FAC-000685,TXN-202408-0192,2024-08-27,Hermanos Aznar S.A.,1317092176451,132.98,19.95,152.93,Medianet,AMEX,PAGADA,E-commerce
FAC-000686,TXN-202408-0193,2024-08-29,Guardiola y Fabregat S.Coop.,7170223804534,187.1,28.07,215.17,Datafast,MASTERCARD,PAGADA,E-commerce
FAC-000687,TXN-202408-0194,2024-08-13,Hotel Córdoba y asociados S.Com.,6782772532095,160.23,24.03,184.26,Datafast,MASTERCARD,PAGADA,Ventas
FAC-000688,TXN-202408-0195,2024-08-23,Familia Rios S.A.,9192848987358,31.27,4.69,35.96,PayPhone,VISA,PAGADA,Ventas
FAC-000689,TXN-202408-0196,2024-08-24,Manufacturas Arnau y asociados S.L.N.E,7327299335702,24.82,3.72,28.54,Medianet,AMEX,PAGADA,E-commerce
FAC-000690,TXN-202408-0197,2024-08-12,Requena & Asociados S.L.,9940939866398,175.69,26.35,202.04,Medianet,VISA,PAGADA,E-commerce
FAC-000691,TXN-202408-0198,2024-08-18,Hnos Garriga S.Com.,4964844273983,821.33,123.2,944.53,Datafast,MASTERCARD,PAGADA,Ventas
