authorization_code,transaction_id,transaction_date,gateway_name,card_type,card_last4,gross_amount,gateway_fee,net_to_bank,currency,status,batch_id
AUTH798217,TXN-202408-0308,2024-08-03,PayPhone,VISA,1170,130.35,4.95,118.23,USD,SETTLED,BATCH-8068
AUTH321239,TXN-202408-0309,2024-08-31,PayPhone,VISA,5635,69.28,2.63,62.84,USD,SETTLED,BATCH-3204
AUTH123334,TXN-202408-0310,2024-08-29,PayPhone,VISA,2360,72.36,2.75,65.63,USD,SETTLED,BATCH-4613
AUTH957130,TXN-202408-0311,2024-08-09,PayPhone,VISA,1408,2790.02,106.02,2530.55,USD,SETTLED,BATCH-9434
AUTH524203,TXN-202408-0312,2024-08-16,Datafast,MASTERCARD,1779,64.95,2.27,59.11,USD,SETTLED,BATCH-9063
AUTH593882,TXN-202408-0313,2024-08-15,Datafast,VISA,6104,405.88,14.21,369.35,USD,SETTLED,BATCH-9697
AUTH834887,TXN-202408-0314,2024-08-07,Medianet,VISA,3646,84.96,2.72,77.55,USD,SETTLED,BATCH-9333
AUTH929904,TXN-202408-0315,2024-08-18,Medianet,VISA,1633,189.07,6.05,172.62,USD,SETTLED,BATCH-9363
AUTH226083,TXN-202408-0316,2024-08-16,Datafast,VISA,3466,233.69,8.18,212.65,USD,SETTLED,BATCH-8254
AUTH674612,TXN-202408-0317,2024-08-09,Datafast,MASTERCARD,9677,69.07,2.42,62.85,USD,SETTLED,BATCH-7240
AUTH242228,TXN-202408-0318,2024-08-04,Datafast,VISA,7835,176.0,6.16,160.16,USD,SETTLED,BATCH-6694
AUTH291927,TXN-202408-0319,2024-08-05,Datafast,VISA,7832,33.57,1.17,30.55,USD,SETTLED,BATCH-7972
AUTH870593,TXN-202408-0320,2024-08-29,Datafast,AMEX,2950,42.47,1.49,38.65,USD,SETTLED,BATCH-4893
AUTH292319,TXN-202408-0321,2024-08-18,Medianet,MASTERCARD,7622,206.01,6.59,188.09,USD,SETTLED,BATCH-2213
AUTH541062,TXN-202408-0322,2024-08-09,Datafast,VISA,9917,21.16,0.74,19.26,USD,SETTLED,BATCH-4375
AUTH530243,TXN-202408-0323,2024-08-12,PayPhone,VISA,1540,189.1,7.19,171.51,USD,SETTLED,BATCH-7379
AUTH999281,TXN-202408-0324,2024-08-12,Medianet,AMEX,2185,35.88,1.15,32.76,USD,SETTLED,BATCH-1859
AUTH598466,TXN-202408-0325,2024-08-06,PayPhone,VISA,1648,352.63,13.4,319.83,USD,SETTLED,BATCH-7827
AUTH702549,TXN-202408-0326,2024-08-29,Datafast,MASTERCARD,5037,60.24,2.11,54.82,USD,SETTLED,BATCH-3096
AUTH773576,TXN-202408-0327,2024-08-06,Datafast,VISA,5783,140.84,4.93,128.16,USD,SETTLED,BATCH-3261
AUTH394869,TXN-202408-0328,2024-08-28,PayPhone,VISA,3365,320.09,12.16,290.33,USD,SETTLED,BATCH-1377
AUTH913801,TXN-202408-0329,2024-08-23,Datafast,VISA,2998,53.98,1.89,49.12,USD,SETTLED,BATCH-2444
AUTH185230,TXN-202408-0330,2024-08-31,Medianet,VISA,4286,408.01,13.06,372.51,USD,SETTLED,BATCH-2600
AUTH744149,TXN-202408-0331,2024-08-28,Medianet,MASTERCARD,5224,17.55,0.56,16.02,USD,SETTLED,BATCH-4170
AUTH116928,TXN-202408-0332,2024-08-24,Datafast,VISA,9223,60.79,2.13,55.31,USD,SETTLED,BATCH-7261
AUTH908554,TXN-202408-0333,2024-08-16,Datafast,VISA,6392,75.26,2.63,68.48,USD,SETTLED,BATCH-1149
AUTH636766,TXN-202408-0334,2024-08-04,Datafast,MASTERCARD,5953,79.7,2.79,72.52,USD,SETTLED,BATCH-5578
AUTH574084,TXN-202408-0335,2024-08-08,Medianet,VISA,5278,1474.62,47.19,1346.32,USD,SETTLED,BATCH-8896
AUTH632765,TXN-202408-0336,2024-08-06,Medianet,VISA,3554,44.51,1.42,40.64,USD,SETTLED,BATCH-5539
AUTH778473,TXN-202408-0337,2024-08-15,Datafast,VISA,1981,2660.6,93.12,2421.14,USD,SETTLED,BATCH-8327
AUTH631697,TXN-202408-0338,2024-08-18,PayPhone,MASTERCARD,4432,76.14,2.89,69.06,USD,SETTLED,BATCH-2304
AUTH551839,TXN-202408-0339,2024-08-14,Medianet,VISA,6230,448.46,14.35,409.45,USD,SETTLED,BATCH-1252
AUTH445083,TXN-202408-0340,2024-08-08,Medianet,MASTERCARD,4235,1704.13,54.53,1555.87,USD,SETTLED,BATCH-4511
AUTH328621,TXN-202408-0341,2024-08-01,Datafast,VISA,2223,27.77,0.97,25.27,USD,SETTLED,BATCH-9338
AUTH626785,TXN-202408-0342,2024-08-01,PayPhone,AMEX,7970,40.19,1.53,36.45,USD,SETTLED,BATCH-1273
AUTH896841,TXN-202408-0343,2024-08-14,PayPhone,DINERS,2005,5.68,0.22,5.14,USD,SETTLED,BATCH-4396
AUTH445495,TXN-202408-0344,2024-08-29,Medianet,MASTERCARD,8832,19.14,0.61,17.46,USD,SETTLED,BATCH-6394
AUTH809102,TXN-202408-0345,2024-08-27,Datafast,VISA,2575,351.32,12.3,319.7,USD,SETTLED,BATCH-2986
AUTH726833,TXN-202408-0346,2024-08-26,Datafast,VISA,8957,296.98,10.39,270.26,USD,SETTLED,BATCH-5200
AUTH947603,TXN-202408-0347,2024-08-26,PayPhone,MASTERCARD,2633,60.72,2.31,55.07,USD,SETTLED,BATCH-9536
AUTH966597,TXN-202408-0348,2024-08-21,Datafast,AMEX,4365,26.72,0.94,24.31,USD,SETTLED,BATCH-6286
AUTH148958,TXN-202408-0349,2024-08-01,Medianet,VISA,9905,158.87,5.08,145.05,USD,SETTLED,BATCH-5028
AUTH506019,TXN-202408-0350,2024-08-09,Datafast,MASTERCARD,7261,12.67,0.44,11.53,USD,SETTLED,BATCH-3760
AUTH593594,TXN-202408-0351,2024-08-16,Medianet,MASTERCARD,1962,16.3,0.52,14.89,USD,SETTLED,BATCH-5748
AUTH887931,TXN-202408-0352,2024-08-15,Datafast,VISA,2308,499.14,17.47,454.22,USD,SETTLED,BATCH-6046
AUTH315216,TXN-202408-0353,2024-08-02,Medianet,VISA,6307,479.69,15.35,437.95,USD,SETTLED,BATCH-2202
AUTH700457,TXN-202408-0354,2024-08-27,Medianet,VISA,8873,19.41,0.62,17.73,USD,SETTLED,BATCH-2999
AUTH534854,TXN-202408-0355,2024-08-08,PayPhone,AMEX,2620,62.61,2.38,56.78,USD,SETTLED,BATCH-5253
AUTH314276,TXN-202408-0356,2024-08-15,Medianet,VISA,2415,94.07,3.01,85.89,USD,SETTLED,BATCH-8530
AUTH419480,TXN-202408-0357,2024-08-22,Medianet,MASTERCARD,9118,1682.06,53.83,1535.72,USD,SETTLED,BATCH-1782
AUTH812756,TXN-202408-0358,2024-08-18,PayPhone,VISA,2900,392.78,14.93,356.24,USD,SETTLED,BATCH-6925
AUTH952708,TXN-202408-0359,2024-08-02,Datafast,VISA,4330,32.03,1.12,29.15,USD,SETTLED,BATCH-4823
AUTH277377,TXN-202408-0360,2024-08-06,Datafast,VISA,3215,216.3,7.57,196.84,USD,SETTLED,BATCH-6040
AUTH830202,TXN-202408-0361,2024-08-19,Medianet,VISA,2601,77.66,2.49,70.9,USD,SETTLED,BATCH-8217
AUTH640055,TXN-202408-0362,2024-08-06,Datafast,MASTERCARD,6069,11.71,0.41,10.65,USD,SETTLED,BATCH-3099
AUTH827291,TXN-202408-0363,2024-08-21,Datafast,MASTERCARD,1265,2992.43,104.74,2723.11,USD,SETTLED,BATCH-4921
AUTH747933,TXN-202408-0364,2024-08-05,Datafast,MASTERCARD,3217,412.42,14.43,375.31,USD,SETTLED,BATCH-6872
AUTH989000,TXN-202408-0365,2024-08-26,Datafast,DINERS,5971,397.81,13.92,362.01,USD,SETTLED,BATCH-2523
AUTH628183,TXN-202408-0366,2024-08-09,Medianet,VISA,8601,59.33,1.9,54.17,USD,SETTLED,BATCH-7698
AUTH892659,TXN-202408-0367,2024-08-07,Datafast,VISA,1070,57.28,2.0,52.13,USD,SETTLED,BATCH-8769
AUTH604970,TXN-202408-0368,2024-08-27,Datafast,VISA,3647,195.64,6.85,178.03,USD,SETTLED,BATCH-4523
AUTH519225,TXN-202408-0369,2024-08-10,PayPhone,MASTERCARD,9532,16.63,0.63,15.08,USD,SETTLED,BATCH-1922
AUTH125239,TXN-202408-0370,2024-08-24,Medianet,VISA,2446,292.5,9.36,267.05,USD,SETTLED,BATCH-6429
AUTH877929,TXN-202408-0371,2024-08-11,PayPhone,MASTERCARD,5740,51.51,1.96,46.71,USD,SETTLED,BATCH-4621
AUTH984824,TXN-202408-0372,2024-08-22,Datafast,DINERS,2507,159.75,5.59,145.37,USD,SETTLED,BATCH-3065
AUTH430209,TXN-202408-0373,2024-08-11,Medianet,VISA,2953,35.74,1.14,32.63,USD,SETTLED,BATCH-7452
AUTH937623,TXN-202408-0374,2024-08-06,Datafast,MASTERCARD,3171,75.33,2.64,68.55,USD,SETTLED,BATCH-9084
AUTH768656,TXN-202408-0375,2024-08-27,Datafast,VISA,9742,47.83,1.67,43.53,USD,SETTLED,BATCH-1128
AUTH438326,TXN-202408-0376,2024-08-12,Medianet,MASTERCARD,8526,187.49,6.0,171.18,USD,SETTLED,BATCH-5191
AUTH989360,TXN-202408-0377,2024-08-16,Medianet,VISA,5900,1021.85,32.7,932.93,USD,SETTLED,BATCH-9364
AUTH122971,TXN-202408-0378,2024-08-29,Datafast,MASTERCARD,6195,60.76,2.13,55.29,USD,SETTLED,BATCH-9471
AUTH984832,TXN-202408-0379,2024-08-17,PayPhone,MASTERCARD,3239,51.27,1.95,46.5,USD,SETTLED,BATCH-7619
AUTH803327,TXN-202408-0380,2024-08-17,Medianet,AMEX,8939,21.19,0.68,19.35,USD,SETTLED,BATCH-9662
AUTH767733,TXN-202408-0381,2024-08-22,Datafast,VISA,2230,19.48,0.68,17.73,USD,SETTLED,BATCH-7780
AUTH417386,TXN-202408-0382,2024-08-24,Medianet,DINERS,4491,314.42,10.06,287.07,USD,SETTLED,BATCH-6435
AUTH698738,TXN-202408-0383,2024-08-14,Medianet,MASTERCARD,8145,375.07,12.0,342.44,USD,SETTLED,BATCH-7225
AUTH244756,TXN-202408-0384,2024-08-06,Datafast,VISA,8805,30.31,1.06,27.59,USD,SETTLED,BATCH-3445
AUTH245750,TXN-202408-0385,2024-08-11,PayPhone,VISA,9357,28.64,1.09,25.97,USD,SETTLED,BATCH-3732
AUTH968677,TXN-202408-0386,2024-08-08,Datafast,MASTERCARD,7037,215.85,7.55,196.43,USD,SETTLED,BATCH-7022
AUTH223677,TXN-202408-0387,2024-08-12,Medianet,VISA,9042,392.72,12.57,358.55,USD,SETTLED,BATCH-9762
AUTH828203,TXN-202408-0388,2024-08-20,Datafast,VISA,7235,492.84,17.25,448.48,USD,SETTLED,BATCH-4040
AUTH577533,TXN-202408-0389,2024-08-08,Medianet,DINERS,5826,27.53,0.88,25.13,USD,SETTLED,BATCH-3602
AUTH161533,TXN-202408-0390,2024-08-09,PayPhone,VISA,8023,369.68,14.05,335.29,USD,SETTLED,BATCH-9610
AUTH375106,TXN-202408-0391,2024-08-15,Medianet,MASTERCARD,4072,119.6,3.83,109.19,USD,SETTLED,BATCH-3699
AUTH779384,TXN-202408-0392,2024-08-09,Datafast,VISA,2175,184.94,6.47,168.3,USD,SETTLED,BATCH-9790
AUTH998050,TXN-202408-0393,2024-08-24,Datafast,VISA,4913,2335.66,81.75,2125.45,USD,SETTLED,BATCH-1026
AUTH688287,TXN-202408-0394,2024-08-19,Medianet,VISA,2305,369.63,11.83,337.47,USD,SETTLED,BATCH-2815
AUTH543115,TXN-202408-0395,2024-08-03,Medianet,VISA,1614,322.04,10.31,294.02,USD,SETTLED,BATCH-9633
AUTH902154,TXN-202408-0396,2024-08-30,PayPhone,VISA,9180,262.41,9.97,238.01,USD,SETTLED,BATCH-4577
AUTH834169,TXN-202408-0397,2024-08-01,PayPhone,VISA,5942,332.97,12.65,302.01,USD,SETTLED,BATCH-3527
AUTH901995,TXN-202408-0398,2024-08-18,Medianet,VISA,2821,8.09,0.26,7.39,USD,SETTLED,BATCH-5021
AUTH181526,TXN-202408-0399,2024-08-24,Datafast,MASTERCARD,7208,8.79,0.31,7.99,USD,SETTLED,BATCH-7119
AUTH671542,TXN-202408-0400,2024-08-14,PayPhone,MASTERCARD,3000,117.83,4.48,106.87,USD,SETTLED,BATCH-4435
AUTH520974,TXN-202408-0401,2024-08-24,Medianet,VISA,5690,40.69,1.3,37.15,USD,SETTLED,BATCH-1683
AUTH815961,TXN-202408-0402,2024-08-23,Medianet,VISA,3774,37.59,1.2,34.32,USD,SETTLED,BATCH-8156
AUTH858422,TXN-202408-0403,2024-08-19,Medianet,VISA,5087,34.65,1.11,31.63,USD,SETTLED,BATCH-9355
AUTH564290,TXN-202408-0404,2024-08-09,Medianet,DINERS,3486,23.17,0.74,21.16,USD,SETTLED,BATCH-9425
AUTH131184,TXN-202408-0405,2024-08-14,Datafast,DINERS,2949,55.38,1.94,50.4,USD,SETTLED,BATCH-6617
AUTH526911,TXN-202408-0406,2024-08-10,Datafast,VISA,6707,90.17,3.16,82.05,USD,SETTLED,BATCH-7997
AUTH509735,TXN-202408-0407,2024-08-05,PayPhone,MASTERCARD,5652,1605.53,61.01,1456.21,USD,SETTLED,BATCH-9768
AUTH315936,TXN-202408-0408,2024-08-25,Datafast,AMEX,1784,33.04,1.16,30.06,USD,SETTLED,BATCH-5882
AUTH295893,TXN-202408-0409,2024-08-30,PayPhone,VISA,2247,76.17,2.89,69.09,USD,SETTLED,BATCH-7920
AUTH979688,TXN-202408-0410,2024-08-04,PayPhone,AMEX,4890,57.03,2.17,51.72,USD,SETTLED,BATCH-8945
AUTH164164,TXN-202408-0411,2024-08-07,Datafast,VISA,2350,45.35,1.59,41.27,USD,SETTLED,BATCH-7709
AUTH899577,TXN-202408-0412,2024-08-05,Medianet,VISA,6497,59.74,1.91,54.54,USD,SETTLED,BATCH-9113
AUTH173115,TXN-202408-0413,2024-08-02,Medianet,VISA,4568,358.68,11.48,327.47,USD,SETTLED,BATCH-9231
AUTH521757,TXN-202408-0414,2024-08-02,Datafast,VISA,6431,339.55,11.88,308.99,USD,SETTLED,BATCH-1302
AUTH900069,TXN-202408-0415,2024-08-28,Medianet,VISA,1842,25.35,0.81,23.15,USD,SETTLED,BATCH-7540
AUTH270770,TXN-202408-0416,2024-08-13,Datafast,VISA,7733,71.26,2.49,64.85,USD,SETTLED,BATCH-5563
AUTH705951,TXN-202408-0417,2024-08-16,PayPhone,MASTERCARD,8099,459.63,17.47,416.88,USD,SETTLED,BATCH-6307
AUTH809011,TXN-202408-0418,2024-08-30,Medianet,VISA,4039,39.35,1.26,35.93,USD,SETTLED,BATCH-4584
AUTH115550,TXN-202408-0419,2024-08-13,Datafast,VISA,7365,30.02,1.05,27.32,USD,SETTLED,BATCH-8858
AUTH597619,TXN-202408-0420,2024-08-08,Datafast,VISA,2088,51.89,1.82,47.21,USD,SETTLED,BATCH-5404
AUTH300967,TXN-202408-0421,2024-08-27,Datafast,VISA,7660,34.04,1.19,30.98,USD,SETTLED,BATCH-5599
AUTH948910,TXN-202408-0422,2024-08-13,PayPhone,DINERS,9976,30.63,1.16,27.78,USD,SETTLED,BATCH-6332
AUTH708401,TXN-202408-0423,2024-08-28,Datafast,MASTERCARD,5149,55.85,1.95,50.83,USD,SETTLED,BATCH-8781
AUTH709594,TXN-202408-0424,2024-08-10,Medianet,VISA,6642,259.12,8.29,236.58,USD,SETTLED,BATCH-6484
AUTH285924,TXN-202408-0425,2024-08-18,Datafast,MASTERCARD,6523,15.39,0.54,14.01,USD,SETTLED,BATCH-3401
AUTH903982,TXN-202408-0426,2024-08-17,PayPhone,AMEX,3739,57.89,2.2,52.5,USD,SETTLED,BATCH-2300
AUTH977634,TXN-202408-0427,2024-08-19,Datafast,AMEX,6294,355.62,12.45,323.61,USD,SETTLED,BATCH-4785
AUTH633693,TXN-202408-0428,2024-08-11,Datafast,MASTERCARD,3875,795.97,27.86,724.33,USD,SETTLED,BATCH-6855
AUTH980075,TXN-202408-0429,2024-08-14,Medianet,MASTERCARD,9140,253.9,8.12,231.81,USD,SETTLED,BATCH-4287
AUTH745618,TXN-202408-0430,2024-08-09,Datafast,DINERS,6109,471.97,16.52,429.49,USD,SETTLED,BATCH-2329
AUTH183982,TXN-202408-0431,2024-08-20,Medianet,VISA,2229,62.18,1.99,56.77,USD,SETTLED,BATCH-8824
AUTH805590,TXN-202408-0432,2024-08-22,Datafast,MASTERCARD,1033,22.41,0.78,20.4,USD,SETTLED,BATCH-6281
AUTH694175,TXN-202408-0433,2024-08-20,Datafast,MASTERCARD,3276,42.67,1.49,38.83,USD,SETTLED,BATCH-6646
AUTH956058,TXN-202408-0434,2024-08-05,Medianet,VISA,6952,286.41,9.17,261.49,USD,SETTLED,BATCH-6402
AUTH662569,TXN-202408-0435,2024-08-09,Datafast,VISA,5636,86.31,3.02,78.55,USD,SETTLED,BATCH-3599
AUTH267497,TXN-202408-0436,2024-08-06,Datafast,MASTERCARD,8971,20.34,0.71,18.51,USD,SETTLED,BATCH-9240
AUTH614366,TXN-202408-0437,2024-08-08,PayPhone,VISA,2065,39.32,1.49,35.67,USD,SETTLED,BATCH-9004
AUTH225827,TXN-202408-0438,2024-08-11,Datafast,VISA,8643,239.76,8.39,218.18,USD,SETTLED,BATCH-5498
AUTH689144,TXN-202408-0439,2024-08-29,Medianet,MASTERCARD,9893,300.6,9.62,274.44,USD,SETTLED,BATCH-9805
AUTH261395,TXN-202408-0440,2024-08-02,Medianet,MASTERCARD,5520,67.03,2.14,61.2,USD,SETTLED,BATCH-8493
AUTH539017,TXN-202408-0441,2024-08-17,Medianet,VISA,9529,314.23,10.06,286.89,USD,SETTLED,BATCH-5529
AUTH836549,TXN-202408-0442,2024-08-25,PayPhone,VISA,9613,71.33,2.71,64.7,USD,SETTLED,BATCH-2425
AUTH438541,TXN-202408-0443,2024-08-17,Datafast,VISA,6880,102.91,3.6,93.65,USD,SETTLED,BATCH-2054
AUTH906841,TXN-202408-0444,2024-08-06,Datafast,MASTERCARD,7978,42.55,1.49,38.72,USD,SETTLED,BATCH-5769
AUTH313986,TXN-202408-0445,2024-08-15,PayPhone,MASTERCARD,7396,36.02,1.37,32.67,USD,SETTLED,BATCH-9627
AUTH910145,TXN-202408-0446,2024-08-15,Datafast,MASTERCARD,5625,164.81,5.77,149.97,USD,SETTLED,BATCH-7320
AUTH943351,TXN-202408-0447,2024-08-23,Datafast,MASTERCARD,9301,2491.22,87.19,2267.02,USD,SETTLED,BATCH-3563
AUTH344717,TXN-202408-0448,2024-08-17,Datafast,VISA,4619,32.22,1.13,29.32,USD,SETTLED,BATCH-8021
AUTH586172,TXN-202408-0449,2024-08-13,Datafast,MASTERCARD,1956,76.23,2.67,69.37,USD,SETTLED,BATCH-8270
AUTH194830,TXN-202408-0450,2024-08-22,Datafast,MASTERCARD,1501,1913.73,66.98,1741.49,USD,SETTLED,BATCH-6295
AUTH579766,TXN-202408-0451,2024-08-10,Datafast,VISA,7049,101.55,3.55,92.41,USD,SETTLED,BATCH-2971
AUTH873364,TXN-202408-0452,2024-08-29,Medianet,DINERS,2736,18.55,0.59,16.94,USD,SETTLED,BATCH-2930
AUTH106370,TXN-202408-0453,2024-08-16,PayPhone,VISA,6582,85.13,3.23,77.22,USD,SETTLED,BATCH-9077
AUTH659827,TXN-202408-0454,2024-08-19,Medianet,VISA,8089,179.91,5.76,164.25,USD,SETTLED,BATCH-7953
AUTH543430,TXN-202408-0455,2024-08-08,Datafast,VISA,8396,50.01,1.75,45.51,USD,SETTLED,BATCH-5213
AUTH962305,TXN-202408-0456,2024-08-06,Datafast,MASTERCARD,6699,167.21,5.85,152.17,USD,SETTLED,BATCH-6482
AUTH970798,TXN-202408-0457,2024-08-19,Datafast,VISA,7584,7.43,0.26,6.77,USD,SETTLED,BATCH-4670
AUTH422920,TXN-202408-0458,2024-08-06,Datafast,DINERS,4411,36.27,1.27,33.01,USD,SETTLED,BATCH-5394
AUTH740413,TXN-202408-0459,2024-08-26,Medianet,MASTERCARD,6990,329.89,10.56,301.18,USD,SETTLED,BATCH-7656
AUTH375161,TXN-202408-0460,2024-08-03,Datafast,VISA,6964,471.22,16.49,428.82,USD,SETTLED,BATCH-6826
AUTH279952,TXN-202408-0461,2024-08-27,Datafast,AMEX,9271,398.55,13.95,362.68,USD,SETTLED,BATCH-6214
AUTH524909,TXN-202408-0462,2024-08-11,Datafast,VISA,5853,69.46,2.43,63.21,USD,SETTLED,BATCH-2178
AUTH715841,TXN-202408-0463,2024-08-19,Datafast,VISA,3386,9.36,0.33,8.52,USD,SETTLED,BATCH-6868
AUTH406117,TXN-202408-0464,2024-08-20,PayPhone,MASTERCARD,4018,59.31,2.25,53.8,USD,SETTLED,BATCH-8140
AUTH265397,TXN-202408-0465,2024-08-20,Datafast,MASTERCARD,8344,44.4,1.55,40.41,USD,SETTLED,BATCH-6090
AUTH131674,TXN-202408-0466,2024-08-16,PayPhone,MASTERCARD,2415,59.69,2.27,54.13,USD,SETTLED,BATCH-2828
AUTH316265,TXN-202408-0467,2024-08-07,PayPhone,AMEX,8465,26.79,1.02,24.29,USD,SETTLED,BATCH-7607
AUTH852839,TXN-202408-0468,2024-08-07,Datafast,VISA,3556,389.74,13.64,354.66,USD,SETTLED,BATCH-8218
AUTH829238,TXN-202408-0469,2024-08-21,PayPhone,VISA,7385,47.03,1.79,42.65,USD,SETTLED,BATCH-9673
AUTH720084,TXN-202408-0470,2024-08-10,Datafast,VISA,7622,64.26,2.25,58.48,USD,SETTLED,BATCH-7992
AUTH661577,TXN-202408-0471,2024-08-11,Medianet,VISA,3183,56.44,1.81,51.53,USD,SETTLED,BATCH-4892
AUTH820333,TXN-202408-0472,2024-08-11,Medianet,MASTERCARD,6924,18.17,0.58,16.59,USD,SETTLED,BATCH-1130
AUTH797165,TXN-202408-0473,2024-08-05,PayPhone,VISA,7637,7.67,0.29,6.95,USD,SETTLED,BATCH-1816
AUTH345804,TXN-202408-0474,2024-08-15,Datafast,VISA,7012,456.29,15.97,415.23,USD,SETTLED,BATCH-4384
AUTH191328,TXN-202408-0475,2024-08-22,PayPhone,VISA,1424,47.37,1.8,42.97,USD,SETTLED,BATCH-6750
AUTH807339,TXN-202408-0476,2024-08-30,Medianet,VISA,5243,219.32,7.02,200.24,USD,SETTLED,BATCH-9262
AUTH908538,TXN-202408-0477,2024-08-13,Datafast,VISA,7271,222.44,7.79,202.42,USD,SETTLED,BATCH-4009
AUTH348937,TXN-202408-0478,2024-08-04,Medianet,VISA,1130,158.7,5.08,144.89,USD,SETTLED,BATCH-1999
AUTH442711,TXN-202408-0479,2024-08-16,Medianet,VISA,8805,36.04,1.15,32.91,USD,SETTLED,BATCH-2806
AUTH417180,TXN-202408-0480,2024-08-06,Datafast,AMEX,1369,44.38,1.55,40.39,USD,SETTLED,BATCH-7488
AUTH820463,TXN-202408-0481,2024-08-17,Datafast,VISA,1701,11.95,0.42,10.87,USD,SETTLED,BATCH-4140
AUTH770809,TXN-202408-0482,2024-08-16,Medianet,AMEX,2359,30.51,0.98,27.85,USD,SETTLED,BATCH-1616
AUTH730722,TXN-202408-0483,2024-08-04,PayPhone,VISA,5817,62.71,2.38,56.88,USD,SETTLED,BATCH-2406
AUTH825959,TXN-202408-0484,2024-08-23,Medianet,VISA,5496,272.93,8.73,249.19,USD,SETTLED,BATCH-6362
AUTH120214,TXN-202408-0485,2024-08-28,Datafast,VISA,2822,68.61,2.4,62.43,USD,SETTLED,BATCH-8788
AUTH218441,TXN-202408-0486,2024-08-24,Datafast,AMEX,4645,62.46,2.19,56.84,USD,SETTLED,BATCH-3543
AUTH395988,TXN-202408-0487,2024-08-07,Datafast,MASTERCARD,1083,168.14,5.88,153.01,USD,SETTLED,BATCH-3827
AUTH476221,TXN-202408-0488,2024-08-09,Datafast,MASTERCARD,7194,361.87,12.67,329.3,USD,SETTLED,BATCH-5600
AUTH912738,TXN-202408-0489,2024-08-04,Datafast,VISA,9343,1899.06,66.47,1728.14,USD,SETTLED,BATCH-3368
AUTH693054,TXN-202408-0490,2024-08-26,Medianet,MASTERCARD,7897,75.75,2.42,69.14,USD,SETTLED,BATCH-3068
AUTH740151,TXN-202408-0491,2024-08-18,Medianet,VISA,3949,71.92,2.3,65.66,USD,SETTLED,BATCH-9590
AUTH538878,TXN-202408-0492,2024-08-13,Datafast,VISA,5270,626.14,21.91,569.79,USD,SETTLED,BATCH-5600
AUTH571482,TXN-202408-0493,2024-08-21,Datafast,VISA,1663,454.34,15.9,413.45,USD,SETTLED,BATCH-9871
AUTH128085,TXN-202408-0494,2024-08-23,Medianet,MASTERCARD,9387,66.31,2.12,60.55,USD,SETTLED,BATCH-4522
AUTH498858,TXN-202408-0495,2024-08-19,PayPhone,VISA,8292,2411.07,91.62,2186.84,USD,SETTLED,BATCH-6002
AUTH727902,TXN-202408-0496,2024-08-10,Datafast,AMEX,2681,120.85,4.23,109.97,USD,SETTLED,BATCH-3742
AUTH288358,TXN-202408-0497,2024-08-05,Medianet,MASTERCARD,1084,76.06,2.43,69.45,USD,SETTLED,BATCH-8857
AUTH166594,TXN-202408-0498,2024-08-11,Datafast,VISA,1056,73.79,2.58,67.15,USD,SETTLED,BATCH-7251
AUTH746898,TXN-202408-0499,2024-08-15,Datafast,VISA,7747,31.36,1.1,28.54,USD,SETTLED,BATCH-7720
AUTH456493,TXN-202408-0500,2024-08-13,Datafast,VISA,7703,293.34,10.27,266.94,USD,SETTLED,BATCH-1799
AUTH959335,TXN-202409-0001,2024-09-18,Medianet,VISA,9871,412.82,13.21,376.9,USD,SETTLED,BATCH-9518
AUTH664771,TXN-202409-0002,2024-09-16,Datafast,VISA,1966,310.14,10.85,282.23,USD,SETTLED,BATCH-5162
AUTH560523,TXN-202409-0003,2024-09-14,Datafast,VISA,5455,261.08,9.14,237.58,USD,SETTLED,BATCH-8141
AUTH299073,TXN-202409-0004,2024-09-03,Medianet,MASTERCARD,2643,54.7,1.75,49.94,USD,SETTLED,BATCH-1807
AUTH102088,TXN-202409-0005,2024-09-15,PayPhone,MASTERCARD,8960,49.41,1.88,44.82,USD,SETTLED,BATCH-2356
AUTH485733,TXN-202409-0006,2024-09-03,Medianet,AMEX,3221,76.69,2.45,70.02,USD,SETTLED,BATCH-9292
AUTH371018,TXN-202409-0007,2024-09-16,Datafast,AMEX,9786,239.14,8.37,217.62,USD,SETTLED,BATCH-1550
AUTH736756,TXN-202409-0008,2024-09-29,Medianet,VISA,3305,452.65,14.48,-413.27,USD,CHARGEBACK,BATCH-5498
AUTH656271,TXN-202409-0009,2024-09-10,PayPhone,MASTERCARD,1126,270.25,10.27,245.12,USD,SETTLED,BATCH-1132
AUTH270295,TXN-202409-0010,2024-09-10,Medianet,VISA,8728,70.81,2.27,64.64,USD,SETTLED,BATCH-4342
AUTH384745,TXN-202409-0011,2024-09-23,Medianet,MASTERCARD,7678,2841.69,90.93,2594.46,USD,SETTLED,BATCH-4220
AUTH343269,TXN-202409-0012,2024-09-28,PayPhone,MASTERCARD,3760,294.38,11.19,267.0,USD,SETTLED,BATCH-5915
AUTH688682,TXN-202409-0013,2024-09-01,PayPhone,VISA,4148,2919.75,110.95,2648.21,USD,SETTLED,BATCH-1082
AUTH637531,TXN-202409-0014,2024-09-01,Medianet,DINERS,9216,26.17,0.84,23.89,USD,SETTLED,BATCH-2179
AUTH878566,TXN-202409-0015,2024-09-13,Datafast,MASTERCARD,2823,378.94,13.26,344.84,USD,SETTLED,BATCH-6466
AUTH913457,TXN-202409-0016,2024-09-18,Datafast,VISA,2994,15.43,0.54,14.05,USD,SETTLED,BATCH-4590
