liquidation_id,bank_reference,transaction_id,settlement_date,transaction_date,gateway,card_type,card_last4,gross_amount,commission_amount,vat_retention,income_retention,net_amount,status,chargeback_flag,original_transaction_id
LIQ-00485,BNK560824,TXN-202407-0485,2024-07-12,2024-07-09,Medianet,MASTERCARD,1782,48.31,1.55,2.17,0.48,44.11,SETTLED,0,
LIQ-00486,BNK366570,TXN-202407-0486,2024-07-05,2024-07-03,Datafast,VISA,6377,449.65,15.74,20.23,4.5,409.18,SETTLED,0,
LIQ-00487,BNK979053,TXN-202407-0487,2024-08-02,2024-07-31,Medianet,VISA,9200,1422.68,45.53,64.02,14.23,1298.9,SETTLED,0,
LIQ-00488,BNK558725,TXN-202407-0488,2024-07-26,2024-07-24,Datafast,VISA,7883,387.74,13.57,17.45,3.88,352.84,SETTLED,0,
LIQ-00489,BNK512744,TXN-202407-0489,2024-07-14,2024-07-13,Medianet,MASTERCARD,3102,414.18,13.25,18.64,4.14,378.15,SETTLED,0,
LIQ-00490,BNK558027,TXN-202407-0490,2024-07-12,2024-07-10,PayPhone,AMEX,8815,29.21,1.11,1.31,0.29,26.5,SETTLED,0,
LIQ-00491,BNK963180,TXN-202407-0491,2024-08-01,2024-07-29,Medianet,VISA,4580,411.09,13.15,18.5,4.11,375.33,SETTLED,0,
LIQ-00492,BNK256147,TXN-202407-0492,2024-07-02,2024-07-01,Medianet,VISA,9735,431.41,13.81,19.41,4.31,393.88,SETTLED,0,
LIQ-00493,BNK182767,TXN-202407-0493,2024-07-15,2024-07-14,PayPhone,VISA,9558,79.39,3.02,3.57,0.79,72.01,SETTLED,0,
LIQ-00494,BNK470392,TXN-202407-0494,2024-07-30,2024-07-28,PayPhone,AMEX,5417,206.78,7.86,9.31,2.07,187.54,SETTLED,0,
LIQ-00495,BNK713571,TXN-202407-0495,2024-07-22,2024-07-21,Datafast,VISA,2634,54.84,1.92,2.47,0.55,49.9,SETTLED,0,
LIQ-00496,BNK167187,TXN-202407-0496,2024-07-17,2024-07-14,Datafast,MASTERCARD,5082,397.2,13.9,17.87,3.97,361.46,SETTLED,0,
LIQ-00497,BNK650099,TXN-202407-0497,2024-07-20,2024-07-19,Datafast,VISA,3583,10.85,0.38,0.49,0.11,9.87,SETTLED,0,
LIQ-00498,BNK352232,TXN-202407-0498,2024-07-06,2024-07-04,Medianet,VISA,2697,30.77,0.98,1.38,0.31,28.1,SETTLED,0,
LIQ-00499,BNK971044,TXN-202407-0499,2024-07-27,2024-07-26,Medianet,VISA,1130,11.7,0.37,0.53,0.12,10.68,SETTLED,0,
LIQ-00500,BNK244936,TXN-202407-0500,2024-07-28,2024-07-27,Datafast,VISA,8299,33.7,1.18,1.52,0.34,30.66,SETTLED,0,
LIQ-00501,BNK833455,TXN-202408-0001,2024-08-23,2024-08-20,Medianet,MASTERCARD,3114,47.25,1.51,2.13,0.47,43.14,SETTLED,0,
LIQ-00502,BNK995221,TXN-202408-0002,2024-09-01,2024-08-30,Datafast,VISA,2002,61.12,2.14,2.75,0.61,55.62,SETTLED,0,
LIQ-00503,BNK598077,TXN-202408-0003,2024-08-06,2024-08-05,Medianet,VISA,3839,72.24,2.31,3.25,0.72,65.96,SETTLED,0,
LIQ-00504,BNK119902,TXN-202408-0004,2024-08-06,2024-08-05,Medianet,VISA,2886,1286.26,41.16,57.88,12.86,1174.36,SETTLED,0,
LIQ-00505,BNK133643,TXN-202408-0005,2024-08-22,2024-08-20,Datafast,VISA,8843,332,11.62,14.94,3.32,302.12,SETTLED,0,
LIQ-00506,BNK160377,TXN-202408-0006,2024-08-11,2024-08-10,Medianet,MASTERCARD,1710,356.53,11.41,16.04,3.57,325.51,SETTLED,0,
LIQ-00507,BNK378925,TXN-202408-0007,2024-08-03,2024-08-02,Medianet,MASTERCARD,8846,204.13,6.53,9.19,2.04,186.37,SETTLED,0,
LIQ-00508,BNK522559,TXN-202408-0008,2024-08-18,2024-08-17,Datafast,VISA,6354,49.54,1.73,2.23,0.5,45.08,SETTLED,0,
LIQ-00509,BNK534953,TXN-202408-0009,2024-08-21,2024-08-19,PayPhone,DINERS,5937,69.56,2.64,3.13,0.7,63.09,SETTLED,0,
LIQ-00510,BNK546235,TXN-202408-0010,2024-08-26,2024-08-25,Datafast,MASTERCARD,9496,480.87,16.83,21.64,4.81,437.59,SETTLED,0,
LIQ-00511,BNK205032,TXN-202408-0011,2024-08-04,2024-08-02,Datafast,VISA,6697,7.99,0.28,0.36,0.08,7.27,SETTLED,0,
LIQ-00512,BNK425689,TXN-202408-0012,2024-08-25,2024-08-23,Medianet,MASTERCARD,4157,36.16,1.16,1.63,0.36,33.02,SETTLED,0,
LIQ-00513,BNK446377,TXN-202408-0013,2024-08-11,2024-08-10,Datafast,MASTERCARD,5703,196.54,6.88,8.84,1.97,178.85,SETTLED,0,
LIQ-00514,BNK757286,TXN-202408-0014,2024-08-16,2024-08-13,Medianet,VISA,7763,305.28,9.77,13.74,3.05,278.72,SETTLED,0,
LIQ-00515,BNK717940,TXN-202408-0015,2024-08-25,2024-08-23,Medianet,AMEX,7070,107.77,3.45,4.85,1.08,98.39,SETTLED,0,
LIQ-00516,BNK126144,TXN-202408-0016,2024-08-15,2024-08-14,Medianet,AMEX,6516,11.47,0.37,0.52,0.11,10.47,SETTLED,0,
LIQ-00517,BNK891775,TXN-202408-0017,2024-08-25,2024-08-24,Datafast,MASTERCARD,8743,60.63,2.12,2.73,0.61,55.17,SETTLED,0,
LIQ-00518,BNK171105,TXN-202408-0018,2024-09-02,2024-08-31,Datafast,MASTERCARD,3161,148.81,5.21,6.7,1.49,135.41,SETTLED,0,
LIQ-00519,BNK933726,TXN-202408-0019,2024-08-08,2024-08-05,Medianet,MASTERCARD,3058,150.12,4.8,6.76,1.5,137.06,SETTLED,0,
LIQ-00520,BNK222137,TXN-202408-0020,2024-08-03,2024-08-01,Medianet,VISA,1610,404,12.93,18.18,4.04,368.85,SETTLED,0,
LIQ-00521,BNK153034,TXN-202408-0021,2024-08-22,2024-08-19,PayPhone,VISA,5004,58.42,2.22,2.63,0.58,52.99,SETTLED,0,
LIQ-00522,BNK568641,TXN-202408-0022,2024-08-20,2024-08-19,Datafast,VISA,1166,42.47,1.49,1.91,0.42,38.65,SETTLED,0,
LIQ-00523,BNK717101,TXN-202408-0023,2024-08-25,2024-08-24,Datafast,VISA,1703,48.04,1.68,2.16,0.48,43.72,SETTLED,0,
LIQ-00524,BNK609244,TXN-202408-0024,2024-08-09,2024-08-08,Datafast,MASTERCARD,5944,69.72,2.44,3.14,0.7,63.44,SETTLED,0,
LIQ-00525,BNK798914,TXN-202408-0025,2024-08-29,2024-08-28,Datafast,VISA,5557,74.84,2.62,3.37,0.75,68.1,SETTLED,0,
LIQ-00526,BNK590061,TXN-202408-0026,2024-08-12,2024-08-11,Medianet,AMEX,8091,256.14,8.2,11.53,2.56,233.85,SETTLED,0,
LIQ-00527,BNK230362,TXN-202408-0027,2024-08-13,2024-08-12,Datafast,MASTERCARD,5987,10.84,0.38,0.49,0.11,9.86,SETTLED,0,
LIQ-00528,BNK364573,TXN-202408-0028,2024-08-04,2024-08-02,Medianet,AMEX,7250,65.33,2.09,2.94,0.65,59.65,SETTLED,0,
LIQ-00529,BNK139165,TXN-202408-0029,2024-08-12,2024-08-11,Datafast,VISA,2050,68.36,2.39,3.08,0.68,62.21,SETTLED,0,
LIQ-00530,BNK120602,TXN-202408-0030,2024-08-13,2024-08-10,Medianet,VISA,3431,47.29,1.51,2.13,0.47,43.18,SETTLED,0,
LIQ-00531,BNK885407,TXN-202408-0031,2024-08-26,2024-08-25,Medianet,VISA,4660,287.21,9.19,12.92,2.87,262.23,SETTLED,0,
LIQ-00532,BNK786925,TXN-202408-0032,2024-09-01,2024-08-30,Medianet,MASTERCARD,1894,143.24,4.58,6.45,1.43,130.78,SETTLED,0,
LIQ-00533,BNK375454,TXN-202408-0033,2024-08-03,2024-08-01,Datafast,MASTERCARD,1448,371.25,12.99,16.71,3.71,337.84,SETTLED,0,
LIQ-00534,BNK714008,TXN-202408-0034,2024-08-05,2024-08-04,Datafast,MASTERCARD,3317,385.43,13.49,17.34,3.85,350.75,SETTLED,0,
LIQ-00535,BNK347413,TXN-202408-0035,2024-08-08,2024-08-05,Medianet,VISA,6828,9.49,0.3,0.43,0.09,8.67,SETTLED,0,
LIQ-00536,BNK670297,TXN-202408-0036,2024-08-17,2024-08-14,Datafast,VISA,2747,68.41,2.39,3.08,0.68,62.26,SETTLED,0,
LIQ-00537,BNK905592,TXN-202408-0037,2024-08-18,2024-08-17,PayPhone,VISA,3234,323.92,12.31,14.58,3.24,293.79,SETTLED,0,
LIQ-00538,BNK678850,TXN-202408-0038,2024-08-23,2024-08-22,Medianet,VISA,2880,106.16,3.4,4.78,1.06,96.92,SETTLED,0,
LIQ-00539,BNK171245,TXN-202408-0039,2024-08-26,2024-08-23,Datafast,VISA,4342,65.06,2.28,2.93,0.65,59.2,SETTLED,0,
LIQ-00540,BNK960406,TXN-202408-0040,2024-08-08,2024-08-05,Datafast,VISA,8560,75.77,2.65,3.41,0.76,68.95,SETTLED,0,
LIQ-00541,BNK849629,TXN-202408-0041,2024-08-07,2024-08-04,Datafast,VISA,6461,28.55,1,1.28,0.29,25.98,SETTLED,0,
LIQ-00542,BNK690265,TXN-202408-0042,2024-08-29,2024-08-28,Datafast,MASTERCARD,7446,39.75,1.39,1.79,0.4,36.17,SETTLED,0,
LIQ-00543,BNK894073,TXN-202408-0043,2024-08-21,2024-08-20,Datafast,AMEX,6836,57.85,2.02,2.6,0.58,52.65,SETTLED,0,
LIQ-00544,BNK833933,TXN-202408-0044,2024-09-02,2024-08-31,Datafast,AMEX,9663,58.34,2.04,2.63,0.58,53.09,SETTLED,0,
LIQ-00545,BNK999594,TXN-202408-0045,2024-08-07,2024-08-06,Datafast,VISA,7416,66.51,2.33,2.99,0.67,60.52,SETTLED,0,
LIQ-00546,BNK841875,TXN-202408-0046,2024-08-06,2024-08-04,PayPhone,AMEX,4118,311.05,11.82,14,3.11,282.12,SETTLED,0,
LIQ-00547,BNK761729,TXN-202408-0047,2024-08-26,2024-08-25,Datafast,MASTERCARD,6419,9.63,0.34,0.43,0.1,8.76,SETTLED,0,
LIQ-00548,BNK830268,TXN-202408-0048,2024-08-22,2024-08-21,Datafast,AMEX,6527,52.27,2.56,2.35,0.52,46.84,SETTLED,0,
LIQ-00549,BNK382650,TXN-202408-0049,2024-08-04,2024-08-03,Medianet,VISA,8722,89.16,2.85,4.01,0.89,81.41,SETTLED,0,
LIQ-00550,BNK702059,TXN-202408-0050,2024-08-29,2024-08-27,PayPhone,VISA,1037,72.88,2.77,3.28,0.73,66.1,SETTLED,0,
LIQ-00551,BNK103173,TXN-202408-0051,2024-08-17,2024-08-14,Datafast,DINERS,8049,74.31,2.6,3.34,0.74,67.63,SETTLED,0,
LIQ-00552,BNK430350,TXN-202408-0052,2024-08-08,2024-08-07,Datafast,VISA,2292,152.58,5.34,6.87,1.53,138.84,SETTLED,0,
LIQ-00553,BNK361400,TXN-202408-0053,2024-08-21,2024-08-20,Datafast,VISA,4578,51.06,1.79,2.3,0.51,46.46,SETTLED,0,
LIQ-00554,BNK800144,TXN-202408-0054,2024-08-05,2024-08-03,Medianet,VISA,2126,281.19,9,12.65,2.81,256.73,SETTLED,0,
LIQ-00555,BNK842107,TXN-202408-0055,2024-08-11,2024-08-08,Datafast,VISA,5277,414.82,14.52,18.67,4.15,377.48,SETTLED,0,
LIQ-00556,BNK168974,TXN-202408-0056,2024-08-25,2024-08-23,PayPhone,MASTERCARD,6906,33.69,1.28,1.52,0.34,30.55,SETTLED,0,
LIQ-00557,BNK432048,TXN-202408-0057,2024-08-13,2024-08-11,Datafast,MASTERCARD,5888,47.42,1.66,2.13,0.47,43.16,SETTLED,0,
LIQ-00558,BNK922563,TXN-202408-0058,2024-08-28,2024-08-26,Datafast,VISA,4099,92.31,3.23,4.15,0.92,84.01,SETTLED,0,
LIQ-00559,BNK280481,TXN-202408-0059,2024-08-09,2024-08-08,Datafast,DINERS,5249,62.51,2.19,2.81,0.63,56.88,SETTLED,0,
LIQ-00560,BNK144351,TXN-202408-0060,2024-09-02,2024-08-30,Datafast,MASTERCARD,6361,66.22,2.32,2.98,0.66,60.26,SETTLED,0,
LIQ-00561,BNK367933,TXN-202408-0061,2024-08-28,2024-08-26,Datafast,DINERS,7497,68.49,3.2,3.08,0.68,61.53,SETTLED,0,
LIQ-00562,BNK740216,TXN-202408-0062,2024-08-21,2024-08-19,Datafast,AMEX,7355,153.96,5.39,6.93,1.54,140.1,SETTLED,0,
LIQ-00563,BNK738424,TXN-202408-0063,2024-08-25,2024-08-23,PayPhone,MASTERCARD,4625,570.52,21.68,25.67,5.71,517.46,SETTLED,0,
LIQ-00564,BNK626213,TXN-202408-0064,2024-08-28,2024-08-26,PayPhone,MASTERCARD,2386,159.06,7.56,7.16,1.59,142.75,SETTLED,0,
LIQ-00565,BNK139738,TXN-202408-0065,2024-08-21,2024-08-20,Medianet,VISA,2187,9.21,0.29,0.41,0.09,8.42,SETTLED,0,
LIQ-00566,BNK947073,TXN-202408-0066,2024-08-27,2024-08-26,Datafast,VISA,4650,51.06,1.79,2.3,0.51,46.46,SETTLED,0,
LIQ-00567,BNK718288,TXN-202408-0067,2024-08-03,2024-08-02,Datafast,VISA,9880,444.65,15.56,20.01,4.45,404.63,SETTLED,0,
LIQ-00568,BNK412086,TXN-202408-0068,2024-08-19,2024-08-17,Datafast,MASTERCARD,7078,13.32,0.47,0.6,0.13,12.12,SETTLED,0,
LIQ-00569,BNK777992,TXN-202408-0069,2024-08-06,2024-08-04,PayPhone,VISA,1787,1488.99,56.58,67,14.89,1350.52,SETTLED,0,
LIQ-00570,BNK970455,TXN-202408-0070,2024-08-29,2024-08-26,Datafast,VISA,4353,76.15,2.67,3.43,0.76,69.29,SETTLED,0,
LIQ-00571,BNK726978,TXN-202408-0071,2024-08-26,2024-08-23,PayPhone,MASTERCARD,5859,77.66,2.95,3.49,0.78,70.44,SETTLED,0,
LIQ-00572,BNK961627,TXN-202408-0072,2024-08-13,2024-08-10,Medianet,VISA,4007,153.65,4.92,6.91,1.54,140.29,SETTLED,0,
LIQ-00573,BNK621043,TXN-202408-0073,2024-09-03,2024-08-31,Medianet,VISA,4121,478.49,15.31,21.53,4.78,436.87,SETTLED,0,
LIQ-00574,BNK514187,TXN-202408-0074,2024-08-22,2024-08-20,Datafast,DINERS,7674,580.96,20.33,26.14,5.81,528.68,SETTLED,0,
LIQ-00575,BNK921376,TXN-202408-0075,2024-09-01,2024-08-30,PayPhone,DINERS,3581,47.42,1.8,2.13,0.47,43.02,SETTLED,0,
LIQ-00576,BNK735551,TXN-202408-0076,2024-08-09,2024-08-06,Datafast,MASTERCARD,3223,78.68,2.75,3.54,0.79,71.6,SETTLED,0,
LIQ-00577,BNK654893,TXN-202408-0077,2024-08-31,2024-08-29,PayPhone,VISA,1548,348.42,13.24,15.68,3.48,316.02,SETTLED,0,
LIQ-00578,BNK616763,TXN-202408-0078,2024-08-10,2024-08-09,Datafast,VISA,5074,10.08,0.35,0.45,0.1,9.18,SETTLED,0,
LIQ-00579,BNK769915,TXN-202408-0079,2024-08-08,2024-08-06,Medianet,VISA,4193,36.47,1.17,1.64,0.36,33.3,SETTLED,0,
LIQ-00580,BNK334546,TXN-202408-0080,2024-08-19,2024-08-16,Datafast,VISA,6079,12.61,0.44,0.57,0.13,11.47,SETTLED,0,
LIQ-00581,BNK779505,TXN-202408-0081,2024-08-29,2024-08-28,Medianet,MASTERCARD,8495,10.53,0.34,0.47,0.11,9.61,SETTLED,0,
LIQ-00582,BNK168281,TXN-202408-0082,2024-08-08,2024-08-06,Datafast,VISA,5796,685.5,23.99,30.85,6.86,623.8,SETTLED,0,
LIQ-00583,BNK308314,TXN-202408-0083,2024-08-14,2024-08-11,Datafast,VISA,4000,2945.1,103.08,132.53,29.45,2680.04,SETTLED,0,
LIQ-00584,BNK585750,TXN-202408-0084,2024-08-22,2024-08-21,PayPhone,AMEX,5343,261.16,9.92,11.75,2.61,236.88,SETTLED,0,
LIQ-00585,BNK718992,TXN-202408-0085,2024-08-09,2024-08-07,Medianet,VISA,7661,29.83,0.95,1.34,0.3,27.24,SETTLED,0,
LIQ-00586,BNK560343,TXN-202408-0086,2024-08-12,2024-08-10,Medianet,MASTERCARD,4406,191.41,6.13,8.61,1.91,174.76,SETTLED,0,
LIQ-00587,BNK818437,TXN-202408-0087,2024-08-06,2024-08-05,Datafast,VISA,2765,432.74,15.15,19.47,4.33,393.79,SETTLED,0,
LIQ-00588,BNK226120,TXN-202408-0088,2024-08-22,2024-08-20,Datafast,VISA,1306,54.65,1.91,2.46,0.55,49.73,SETTLED,0,
LIQ-00589,BNK953189,TXN-202408-0089,2024-08-05,2024-08-03,Datafast,VISA,5935,26.89,0.94,1.21,0.27,24.47,SETTLED,0,
LIQ-00590,BNK534714,TXN-202408-0090,2024-08-24,2024-08-22,PayPhone,VISA,4800,41.68,1.58,1.88,0.42,37.8,SETTLED,0,
LIQ-00591,BNK500788,TXN-202408-0091,2024-08-13,2024-08-12,Datafast,MASTERCARD,8385,71.41,2.5,3.21,0.71,64.99,SETTLED,0,
LIQ-00592,BNK732277,TXN-202408-0092,2024-08-12,2024-08-09,Datafast,VISA,7810,21.97,0.77,0.99,0.22,19.99,SETTLED,0,
LIQ-00593,BNK683576,TXN-202408-0093,2024-08-15,2024-08-12,Datafast,MASTERCARD,9264,116,4.06,5.22,1.16,105.56,SETTLED,0,
LIQ-00594,BNK886334,TXN-202408-0094,2024-08-16,2024-08-13,Datafast,MASTERCARD,7492,9.57,0.33,0.43,0.1,8.71,SETTLED,0,
LIQ-00595,BNK406830,TXN-202408-0095,2024-08-30,2024-08-29,Datafast,MASTERCARD,9851,279.43,9.78,12.57,2.79,254.29,SETTLED,0,
LIQ-00596,BNK207012,TXN-202408-0096,2024-08-20,2024-08-17,Datafast,VISA,1459,2285.76,80,102.86,22.86,2080.04,SETTLED,0,
LIQ-00597,BNK530846,TXN-202408-0097,2024-08-06,2024-08-04,PayPhone,AMEX,1535,340.51,12.94,15.32,3.41,308.84,SETTLED,0,
LIQ-00598,BNK500560,TXN-202408-0098,2024-08-06,2024-08-05,Datafast,DINERS,6141,2521.15,88.24,113.45,25.21,2294.25,SETTLED,0,
LIQ-00599,BNK204413,TXN-202408-0099,2024-08-22,2024-08-21,Datafast,DINERS,3307,79.8,2.79,3.59,0.8,72.62,SETTLED,0,
LIQ-00600,BNK255650,TXN-202408-0100,2024-08-04,2024-08-03,PayPhone,VISA,5597,2785.43,105.85,125.34,27.85,2526.39,SETTLED,0,
LIQ-00601,BNK326789,TXN-202408-0101,2024-08-16,2024-08-15,Datafast,VISA,7249,25.72,0.9,1.16,0.26,23.4,SETTLED,0,
LIQ-00602,BNK608512,TXN-202408-0102,2024-08-15,2024-08-14,Medianet,MASTERCARD,1821,36.47,1.17,1.64,0.36,33.3,SETTLED,0,
LIQ-00603,BNK400579,TXN-202408-0103,2024-08-31,2024-08-30,Datafast,MASTERCARD,3506,474.65,16.61,21.36,4.75,431.93,SETTLED,0,
LIQ-00604,BNK151489,TXN-202408-0104,2024-08-14,2024-08-12,Medianet,VISA,2469,45.17,1.45,2.03,0.45,41.24,SETTLED,0,
LIQ-00605,BNK608581,TXN-202408-0105,2024-08-08,2024-08-06,Datafast,MASTERCARD,8983,278.68,9.75,12.54,2.79,253.6,SETTLED,0,
LIQ-00606,BNK603203,TXN-202408-0106,2024-08-15,2024-08-13,Datafast,MASTERCARD,8178,248.72,8.71,11.19,2.49,226.33,SETTLED,0,
LIQ-00607,BNK698755,TXN-202408-0107,2024-08-13,2024-08-12,Medianet,VISA,5686,25.14,0.8,1.13,0.25,22.96,SETTLED,0,
LIQ-00608,BNK379103,TXN-202408-0108,2024-08-31,2024-08-28,Datafast,MASTERCARD,2055,68.21,2.39,3.07,0.68,62.07,SETTLED,0,
LIQ-00609,BNK360300,TXN-202408-0109,2024-08-26,2024-08-24,Medianet,DINERS,8631,27.54,0.88,1.24,0.28,25.14,SETTLED,0,
LIQ-00610,BNK344631,TXN-202408-0110,2024-08-04,2024-08-03,Medianet,VISA,5317,334.09,10.69,15.03,3.34,305.03,SETTLED,0,
LIQ-00611,BNK971279,TXN-202408-0111,2024-08-19,2024-08-17,Datafast,AMEX,4085,41.33,1.45,1.86,0.41,37.61,SETTLED,0,
LIQ-00612,BNK282657,TXN-202408-0112,2024-08-19,2024-08-17,PayPhone,MASTERCARD,1615,28.33,1.08,1.27,0.28,25.7,SETTLED,0,
LIQ-00613,BNK899219,TXN-202408-0113,2024-08-08,2024-08-07,Datafast,AMEX,5949,92.16,3.23,4.15,0.92,83.86,SETTLED,0,
LIQ-00614,BNK437976,TXN-202408-0114,2024-08-24,2024-08-23,PayPhone,VISA,4405,73.85,2.81,3.32,0.74,66.98,SETTLED,0,
LIQ-00615,BNK558116,TXN-202408-0115,2024-08-07,2024-08-04,Datafast,AMEX,6218,52.66,1.84,2.37,0.53,47.92,SETTLED,0,
LIQ-00616,BNK291905,TXN-202408-0116,2024-08-30,2024-08-28,Datafast,VISA,1957,154.59,5.41,6.96,1.55,140.67,SETTLED,0,
LIQ-00617,BNK321181,TXN-202408-0117,2024-08-27,2024-08-24,Medianet,VISA,3542,72.09,2.31,3.24,0.72,65.82,SETTLED,0,
LIQ-00618,BNK872766,TXN-202408-0118,2024-08-26,2024-08-25,Datafast,VISA,4741,69.04,2.42,3.11,0.69,62.82,SETTLED,0,
LIQ-00619,BNK822347,TXN-202408-0119,2024-08-17,2024-08-14,PayPhone,MASTERCARD,9791,193.02,7.33,8.69,1.93,175.07,SETTLED,0,
LIQ-00620,BNK640423,TXN-202408-0120,2024-08-31,2024-08-30,Datafast,MASTERCARD,7006,83.74,2.93,3.77,0.84,76.2,SETTLED,0,
LIQ-00621,BNK802264,TXN-202408-0121,2024-08-28,2024-08-26,Medianet,MASTERCARD,1768,23.93,0.77,1.08,0.24,21.84,SETTLED,0,
LIQ-00622,BNK719682,TXN-202408-0122,2024-08-30,2024-08-28,Medianet,MASTERCARD,3676,72.16,2.31,3.25,0.72,65.88,SETTLED,0,
LIQ-00623,BNK724029,TXN-202408-0123,2024-08-22,2024-08-20,Datafast,VISA,3653,44.05,1.54,1.98,0.44,40.09,SETTLED,0,
LIQ-00624,BNK403149,TXN-202408-0124,2024-08-29,2024-08-27,Medianet,VISA,5592,2916.21,93.32,131.23,29.16,2662.5,SETTLED,0,
LIQ-00625,BNK711177,TXN-202408-0125,2024-08-17,2024-08-16,Medianet,MASTERCARD,7916,56.33,1.8,2.53,0.56,51.44,SETTLED,0,
LIQ-00626,BNK696076,TXN-202408-0126,2024-08-24,2024-08-21,Datafast,VISA,7403,25.77,0.9,1.16,0.26,23.45,SETTLED,0,
LIQ-00627,BNK219473,TXN-202408-0127,2024-08-09,2024-08-08,PayPhone,MASTERCARD,6543,43.8,1.66,1.97,0.44,39.73,SETTLED,0,
LIQ-00628,BNK740204,TXN-202408-0128,2024-08-23,2024-08-22,PayPhone,AMEX,3968,357.42,13.58,16.08,3.57,324.19,SETTLED,0,
LIQ-00629,BNK567736,TXN-202408-0129,2024-08-16,2024-08-14,Medianet,MASTERCARD,8347,1148.57,36.75,51.69,11.49,1048.64,SETTLED,0,
LIQ-00630,BNK946214,TXN-202408-0130,2024-08-09,2024-08-07,Datafast,VISA,6517,320.26,11.21,14.41,3.2,291.44,SETTLED,0,
LIQ-00631,BNK115372,TXN-202408-0131,2024-09-02,2024-08-30,Medianet,VISA,3612,63.87,2.04,2.87,0.64,58.3,SETTLED,0,
LIQ-00632,BNK170249,TXN-202408-0132,2024-08-19,2024-08-18,Datafast,VISA,4259,54.32,1.9,2.44,0.54,49.44,SETTLED,0,
LIQ-00633,BNK846048,TXN-202408-0133,2024-08-19,2024-08-18,Datafast,VISA,4293,384.58,13.46,17.31,3.85,349.96,SETTLED,0,
LIQ-00634,BNK962501,TXN-202408-0134,2024-08-11,2024-08-08,PayPhone,AMEX,3186,173.35,6.59,7.8,1.73,157.23,SETTLED,0,
LIQ-00635,BNK376943,TXN-202408-0135,2024-08-21,2024-08-19,PayPhone,VISA,9524,236.11,8.97,10.62,2.36,214.16,SETTLED,0,
LIQ-00636,BNK273164,TXN-202408-0136,2024-08-22,2024-08-19,Datafast,VISA,3511,52.58,1.84,2.37,0.53,47.84,SETTLED,0,
LIQ-00637,BNK551712,TXN-202408-0137,2024-08-16,2024-08-13,Datafast,AMEX,4830,70.06,3.36,3.15,0.7,62.85,SETTLED,0,
LIQ-00638,BNK989319,TXN-202408-0138,2024-08-09,2024-08-07,Datafast,VISA,1152,137.69,4.82,6.2,1.38,125.29,SETTLED,0,
LIQ-00639,BNK792398,TXN-202408-0139,2024-08-14,2024-08-11,Datafast,MASTERCARD,3233,1643.93,57.54,73.98,16.44,1495.97,SETTLED,0,
LIQ-00640,BNK246346,TXN-202408-0140,2024-08-14,2024-08-11,Datafast,VISA,1266,79,2.77,3.55,0.79,71.89,SETTLED,0,
LIQ-00641,BNK127584,TXN-202408-0141,2024-08-20,2024-08-19,Datafast,VISA,3202,63.02,2.21,2.84,0.63,57.34,SETTLED,0,
LIQ-00642,BNK324754,TXN-202408-0142,2024-08-23,2024-08-21,Datafast,MASTERCARD,6409,51.09,1.79,2.3,0.51,46.49,SETTLED,0,
LIQ-00643,BNK589966,TXN-202408-0143,2024-08-10,2024-08-07,Datafast,DINERS,7574,7.83,0.27,0.35,0.08,7.13,SETTLED,0,
LIQ-00644,BNK153457,TXN-202408-0144,2024-08-08,2024-08-07,Datafast,VISA,2766,67.49,2.36,3.04,0.67,61.42,SETTLED,0,
LIQ-00645,BNK640615,TXN-202408-0145,2024-08-14,2024-08-12,Medianet,MASTERCARD,4531,57.01,1.82,2.57,0.57,52.05,SETTLED,0,
LIQ-00646,BNK583122,TXN-202408-0146,2024-08-28,2024-08-27,Datafast,VISA,4349,150.15,5.26,6.76,1.5,136.63,SETTLED,0,
LIQ-00647,BNK959636,TXN-202408-0147,2024-08-13,2024-08-11,Datafast,VISA,1163,330.48,11.57,14.87,3.3,300.74,SETTLED,0,
LIQ-00648,BNK666808,TXN-202408-0148,2024-08-13,2024-08-12,PayPhone,DINERS,4763,72.6,2.76,3.27,0.73,65.84,SETTLED,0,
LIQ-00649,BNK985261,TXN-202408-0149,2024-08-11,2024-08-08,Datafast,AMEX,1359,88.03,3.08,3.96,0.88,80.11,SETTLED,0,
LIQ-00650,BNK279860,TXN-202408-0150,2024-08-06,2024-08-04,PayPhone,VISA,4595,42.85,1.63,1.93,0.43,38.86,SETTLED,0,
LIQ-00651,BNK210825,TXN-202408-0151,2024-08-28,2024-08-25,Medianet,MASTERCARD,4232,53.02,1.7,2.39,0.53,48.4,SETTLED,0,
LIQ-00652,BNK193347,TXN-202408-0152,2024-08-28,2024-08-27,Medianet,MASTERCARD,5155,13.11,0.42,0.59,0.13,11.97,SETTLED,0,
LIQ-00653,BNK530694,TXN-202408-0153,2024-08-11,2024-08-09,Datafast,VISA,7689,14.27,0.5,0.64,0.14,12.99,SETTLED,0,
LIQ-00654,BNK157590,TXN-202408-0154,2024-08-17,2024-08-14,Medianet,VISA,8675,83.91,2.69,3.78,0.84,76.6,SETTLED,0,
LIQ-00655,BNK981881,TXN-202408-0155,2024-08-15,2024-08-14,Datafast,MASTERCARD,8224,374.31,13.1,16.84,3.74,340.63,SETTLED,0,
LIQ-00656,BNK266050,TXN-202408-0156,2024-08-17,2024-08-16,Medianet,MASTERCARD,2109,63.86,2.04,2.87,0.64,58.31,SETTLED,0,
